year,state,lga,fvi_score,annual_rainfall_mm,population_exposed_thousands
2017,Abia,Aba North,6.02,635,170
2017,Abia,Aba South,9.82,898,78
2017,Abia,Arochukwu,2.88,558,118
2017,Abia,Bende,3.8,424,84
2017,Abia,Ikwuano,7.34,709,117
2017,Abia,Isiala-Ngwa North,9.24,490,200
2017,Abia,Isiala-Ngwa South,2.38,451,94
2017,Abia,Isiukwuato,7.2,343,197
2017,Abia,Obi Ngwa,7.18,581,140
2017,Abia,Ohafia,8.03,939,50
2017,Abia,Osisioma Ngwa,5.59,681,77
2017,Abia,Ugwunagbo,7.44,938,89
2017,Abia,Ukwa East,5.19,952,151
2017,Abia,Ukwa West,9.02,893,175
2017,Abia,Umu-Nneochi,3.33,810,147
2017,Abia,Umuahia North,6.31,959,97
2017,Abia,Umuahia South,1.97,771,143
2017,Adamawa,Demsa,3.15,549,107
2017,Adamawa,Fufore,5.67,347,89
2017,Adamawa,Ganye,9.01,162,128
2017,Adamawa,Girei,1.04,931,61
2017,Adamawa,Gombi,6.62,974,187
2017,Adamawa,Guyuk,4.44,905,192
2017,Adamawa,Hong,1.07,164,177
2017,Adamawa,Jada,7.32,251,67
2017,Adamawa,Lamurde,5.14,371,143
2017,Adamawa,Madagali,9.92,345,174
2017,Adamawa,Maiha,8.12,943,121
2017,Adamawa,Mayo-Belwa,2.04,171,92
2017,Adamawa,Michika,3.27,358,138
2017,Adamawa,Mubi North,6.61,474,104
2017,Adamawa,Mubi South,8.07,253,167
2017,Adamawa,Numan,7.43,573,88
2017,Adamawa,Shelleng,6.56,364,189
2017,Adamawa,Song,1.97,330,81
2017,Adamawa,Toungo,8.59,987,81
2017,Adamawa,Yola North,5.73,359,109
2017,Adamawa,Yola South,1.19,117,58
2017,Akwa Ibom,Abak,2.2,615,166
2017,Akwa Ibom,Eastern Obolo,2.44,824,70
2017,Akwa Ibom,Eket,4.68,745,179
2017,Akwa Ibom,Esit - Eket,9.26,502,174
2017,Akwa Ibom,Essien Udim,5.8,271,167
2017,Akwa Ibom,Etim Ekpo,1.48,190,74
2017,Akwa Ibom,Etinan,3.97,710,142
2017,Akwa Ibom,Ibeno,3.63,257,70
