year,state,lga,fvi_score,annual_rainfall_mm,population_exposed_thousands
2018,Abia,Aba North,6.24,1957,22
2018,Abia,Aba South,1.22,1890,29
2018,Abia,Ukwa East,8.69,2077,18
2018,Abia,Osisioma Ngwa,8.66,1807,17
2018,Abia,Bende,2.34,2230,16
2018,Abia,Ikwuano,4.42,2167,31
2018,Abia,Isiukwuato,7.09,1727,24
2018,Abia,Ugwunagbo,2.05,1900,14
2018,Abia,Umuahia South,4.09,2042,31
2018,Abia,Umuahia North,5.36,2139,28
2018,Abia,Arochukwu,9.29,1786,33
2018,Abia,Isiala-Ngwa South,5.57,1909,19
2018,Abia,Isiala-Ngwa North,1.79,2234,32
2018,Abia,Obi Ngwa,1.4,2078,21
2018,Abia,Umu-Nneochi,5.54,1931,29
2018,Abia,Ukwa West,6.91,2020,37
2018,Abia,Ohafia,5.37,2087,23
2018,Adamawa,Fufore,4.54,890,17
2018,Adamawa,Mayo-Belwa,9.57,963,24
2018,Adamawa,Michika,9.16,843,20
2018,Adamawa,Shelleng,8.9,836,25
2018,Adamawa,Demsa,6.13,959,23
2018,Adamawa,Ganye,7.34,985,16
2018,Adamawa,Guyuk,7.07,902,23
2018,Adamawa,Mubi North,8.18,812,9
2018,Adamawa,Mubi South,8.36,855,23
2018,Adamawa,Girei,7.36,825,24
2018,Adamawa,Yola North,7.55,849,14
2018,Adamawa,Song,1.62,891,11
2018,Adamawa,Hong,8.09,827,15
2018,Adamawa,Yola South,7.24,778,16
2018,Adamawa,Gombi,9.6,940,26
2018,Adamawa,Jada,5.41,983,17
2018,Adamawa,Maiha,8.24,861,14
2018,Adamawa,Numan,3.66,804,26
2018,Adamawa,Lamurde,5.73,976,15
2018,Adamawa,Madagali,9.95,912,12
2018,Adamawa,Toungo,2.21,862,24
2018,Akwa Ibom,Ibiono Ibom,2.07,2595,17
2018,Akwa Ibom,Abak,3.82,3052,16
2018,Akwa Ibom,Uyo,9.06,3215,24
2018,Akwa Ibom,Urue-Offong/Oruko,5.99,2859,18
2018,Akwa Ibom,Uruan,1.76,3151,30
2018,Akwa Ibom,Essien Udim,5.62,2708,24
2018,Akwa Ibom,Mbo,2.61,3002,25
2018,Akwa Ibom,Mbo,1.53,2762,13
2018,Akwa Ibom,Ika,4.88,2510,28
2018,Akwa Ibom,Ukanafun,9.52,2796,24
2018,Akwa Ibom,Udung Uko,2.52,2942,27
2018,Akwa Ibom,Mbo,4.44,2436,27
2018,Akwa Ibom,Etim Ekpo,7.51,2875,26
2018,Akwa Ibom,Etinan,9.65,3147,26
2018,Akwa Ibom,Itu,3.03,2609,21
2018,Akwa Ibom,Ikono,5.29,2923,27
2018,Akwa Ibom,Ikot Abasi,5.61,2981,29
2018,Akwa Ibom,Ikot Ekpene,5.3,2718,29
2018,Akwa Ibom,Oruk Anam,3.87,3014,12
2018,Akwa Ibom,Oron,8.82,3134,11
2018,Akwa Ibom,Onna,6.71,2527,32
2018,Akwa Ibom,Okobo,1.96,2495,33
2018,Akwa Ibom,Eastern Obolo,3.33,2908,22
2018,Akwa Ibom,Eket,7.97,2545,16
2018,Akwa Ibom,Obot Akara,8.4,2492,23
2018,Akwa Ibom,Ini,5.93,3217,20
2018,Akwa Ibom,Nsit Ubium,8.06,2860,15
2018,Akwa Ibom,Nsit Ibom,5.88,2556,19
2018,Akwa Ibom,Nsit Atai,5.81,2597,14
2018,Akwa Ibom,Mkpat Enin,1.93,3155,12
2018,Akwa Ibom,Ibeno,8.91,3081,33
2018,Akwa Ibom,Ibesikpo Asutan,8.88,1798,32
2018,Akwa Ibom,Mbo,1.14,2052,34
2018,Akwa Ibom,Mbo,8.74,1899,42
2018,Akwa Ibom,Esit - Eket,8.76,2028,15
2018,Anambra,Ihiala,7.7,1762,21
2018,Anambra,Idemili North,2.3,1730,37
2018,Anambra,Idemili South,4.12,2138,14
2018,Anambra,Nnewi North,1.89,1728,42
2018,Anambra,Aguata,6.19,2208,26
2018,Anambra,Njikoka,6.06,2190,16
2018,Anambra,Onitsha North,3.59,2151,42
2018,Anambra,Ogbaru,1.39,1864,18
2018,Anambra,Anambra West,1.37,1692,32
2018,Anambra,Anambra East,1.81,2239,35
2018,Anambra,Awka North,4.6,1891,40
2018,Anambra,Ekwusigo,6.38,1963,38
2018,Anambra,Awka South,9.17,2129,16
2018,Anambra,Ayamelum,6.26,2178,31
2018,Anambra,Dunukofia,5.12,1843,16
2018,Anambra,Anaocha,6.65,2184,32
2018,Anambra,Oyi,4.24,1916,37
2018,Anambra,Onitsha South,1.75,859,8
2018,Anambra,Orumba North,3.71,816,22
2018,Anambra,Orumba South,5.86,779,19
2018,Anambra,Dunukofia,6.04,759,22
2018,Anambra,Nnewi South,7.68,883,14
2018,Bauchi,Gamawa,6.9,863,23
2018,Bauchi,Ganjuwa,4.42,851,14
2018,Bauchi,Toro,4.76,674,8
2018,Bauchi,Giade,6.82,710,13
2018,Bauchi,Tafawa-Balewa,4.35,731,18
2018,Bauchi,Alkaleri,2.63,773,22
2018,Bauchi,Misau,5.31,835,10
2018,Bauchi,Dass,4.94,786,14
2018,Bauchi,Itas/Gadau,5.63,705,10
2018,Bauchi,Darazo,1.19,854,22
2018,Bauchi,Bauchi,8.24,743,15
2018,Bauchi,Ningi,3.45,772,12
2018,Bauchi,Kirfi,7.49,809,15
2018,Bauchi,Katagum,3.82,853,22
2018,Bauchi,Shira,4.53,864,10
2018,Bauchi,Jama'are,1.85,3622,46
2018,Bauchi,Zaki,6.22,3267,107
2018,Bauchi,Bogoro,1.51,3878,82
2018,Bauchi,Damban,2.61,3063,48
2018,Bauchi,Warji,8.58,3667,110
2018,Bayelsa,Brass,9.18,2973,109
2018,Bayelsa,Ogbia,6.36,3194,107
2018,Bayelsa,Ekeremor,4.87,3675,118
2018,Bayelsa,Nembe,7.44,1259,37
2018,Bayelsa,Sagbama,3.53,1542,41
2018,Bayelsa,Kolokuma/Opokuma,1.54,1316,18
2018,Bayelsa,Southern Ijaw,6.54,1442,17
2018,Bayelsa,Yenegoa,3.27,1199,21
2018,Benue,Gwer West,5.89,1197,16
2018,Benue,Ukum,7.42,1265,19
2018,Benue,Ushongo,7.56,1366,28
2018,Benue,Guma,4.52,1325,35
2018,Benue,Vandeikya,9.33,1248,20
2018,Benue,Ohimini,8.61,1248,14
2018,Benue,Katsina-Ala,3.67,1427,28
2018,Benue,Konshisha,8.75,1300,39
2018,Benue,Apa,4.77,1326,21
2018,Benue,Kwande,6.73,1510,24
2018,Benue,Ado,2.99,1477,29
2018,Benue,Logo,3.67,1379,21
2018,Benue,Makurdi,8.09,1541,37
2018,Benue,Gboko,6.69,1403,39
2018,Benue,Obi,3.57,1157,29
2018,Benue,Ogbadibo,4.78,1382,40
2018,Benue,Oju,3.39,1222,25
2018,Benue,Agatu,4.59,1155,39
2018,Benue,Buruku,2.67,629,16
2018,Benue,Okpokwu,6.5,531,8
