year,place,lga,state,fpi_score,annual_rainfall_mm,population_exposed_thousands
2017,ABA,Aba South,Abia,1.37,802,0.771
2017,Abakaliki,Ebonyi,Ebonyi,1.53,1488,0.913
2017,Abaragba,Ikom,Cross River,5.24,1927,0.926
2017,ABEOKUTA,Abeokuta South,Ogun,1.8,1417,0.783
2017,Abong,Kurmi,Taraba,3.53,914,0.532
2017,ABUJA,Abuja Municipal,Federal Capital Territory,7.38,1994,0.994
2017,Addo,Iseyin,Oyo,8.49,346,0.891
2017,Adebka,Bukkuyum,Zamfara,5.46,1965,0.984
2017,Ado,Ado-Odo/Ota,Ogun,3.46,1423,0.812
2017,Ado-Ekiti,Ado Ekiti,Ekiti,3.84,257,0.675
2017,Afikpo,Afikpo North,Ebonyi,1.77,294,0.977
2017,Agam,Kajuru,Kaduna,6.03,453,0.868
2017,Agbado,Aiyekire (Gbonyin),Ekiti,1.51,1757,0.556
2017,Agbor,Ika South,Delta,8.78,1117,0.89
2017,Ageri,Odeda,Ogun,2.68,1018,0.857
2017,Aggi,Ekeremor,Bayelsa,8.1,928,0.646
2017,Agholopke,Okpe,Delta,8.42,787,0.959
2017,Ago Amadu,Saki East,Oyo,8.17,839,0.731
2017,Ago-Owu,Aiyedade,Osun,7.1,946,0.956
2017,Agunrege,Atigbo,Oyo,1.47,1787,0.79
2017,Aiyetoro,Egbado North,Ogun,8.1,208,0.768
2017,Ajapa,Ese-Odo,Ondo,9.95,1987,0.737
2017,AJASSE IPO,Irepodun,Kwara,6,201,0.544
2017,Ajebo,Obafemi-Owode,Ogun,3.31,1139,0.699
2017,Akerre,Wushishi,Niger,6.49,1641,0.759
2017,Akowe,Afijio,Oyo,7.21,1041,0.881
2017,Akungba,Akoko South West,Ondo,3.08,1963,0.739
2017,Akure,Akure South,Ondo,4.28,484,0.579
2017,Akwana,Logo,Benue,7.3,1629,0.514
2017,Akwanga,Akwanga,Nasarawa,6.73,1840,0.662
2017,Alagarno,Fune,Yobe,4.58,1578,0.84
2017,Alakuka,Ijebu East,Ogun,4.89,519,0.766
2017,Alawa,Shiroro,Niger,4.46,1220,0.68
2017,Alkalere,Alkaleri,Bauchi,4.93,1245,0.805
2017,Alla Soka,Imeko-Afon,Ogun,5.43,1155,0.609
2017,Amaku,Nasarawa,Nasarawa,6.52,1929,0.661
2017,Amper,Kanke,Plateau,6.13,986,0.849
2017,Andaha,Akwanga,Nasarawa,9.51,1569,0.721
2017,Anderai,Maiyama,Kebbi,9.74,1184,0.572
2017,Anka,Anka,Zamfara,6.03,594,0.813
2017,Ankpa,Ankpa,Kogi,6.37,430,0.866
2017,Apawa,Yorro,Taraba,2.8,1629,0.783
2017,Apoi,Southern Ijaw,Bayelsa,3.81,1243,0.692
2017,Araromi,Moro,Kwara,1.1,1669,0.772
2017,Arege,Abadam,Borno,6.98,292,0.563
2017,Argungu,Argungu,Kebbi,1.54,1327,0.999
2017,ASABA,Oshimili South,Delta,4.04,1571,0.835
2017,Askira,Askira/Uba,Borno,9.66,1904,0.695
2017,Atijere,Ilaje,Ondo,3.7,1882,0.751
2017,Atsuku,Kurmi,Taraba,1.57,1448,0.572
2017,Atuma,Giwa,Kaduna,3.32,1245,0.753
2017,Auchi,Etsako West,Edo,5.54,985,0.981
2017,Augi,Augie,Kebbi,8.2,910,0.577
2017,Auna,Magama,Niger,1.86,1253,0.824
2017,Auno,Konduga,Borno,4.49,878,0.596
