state,lga,year,fvi_score,fvi_category,exposure_index,sensitivity_index,adaptive_capacity_index,annual_rainfall_mm,population_exposed_thousands,area_flooded_km2,economic_loss_million_ngn,flood_events
Abia,Aba North,2018,5.33,Medium,5.76,5.43,5.74,1957,22,13,160.6,1
Abia,Aba North,2019,6.17,Medium,6.57,6.73,5.75,2192,23,26,331.1,1
Abia,Aba North,2020,5.21,Medium,5.45,4.86,4.57,2122,27,12,147.1,1
Abia,Aba North,2021,5.67,Medium,6.99,4.79,5.22,2229,27,20,261.7,1
Abia,Aba North,2022,6.73,High,7.54,6.63,4.69,1830,19,13,166.1,2
Abia,Aba North,2023,6.26,Medium,7.73,5.01,4.2,1905,31,20,257.5,2
Abia,Aba North,2024,6.58,Medium,7.24,7.25,6.04,2374,15,28,360.7,3
Abia,Aba South,2018,5.64,Medium,6.54,5.19,5.27,1890,29,20,263.7,2
Abia,Aba South,2019,6.66,Medium,7.43,6.68,4.95,2003,23,19,237.5,2
Abia,Aba South,2020,5.94,Medium,5.9,6.54,5.2,2101,31,21,274.0,1
Abia,Aba South,2021,5.54,Medium,5.5,5.54,4.37,2073,34,28,372.9,2
Abia,Aba South,2022,5.9,Medium,5.97,6.38,5.22,1863,36,31,414.0,3
Abia,Aba South,2023,5.64,Medium,6.84,5.26,6.01,1958,16,34,413.4,3
Abia,Aba South,2024,5.99,Medium,6.04,6.33,4.78,2318,43,21,268.0,1
Abia,Arochukwu,2018,6.42,Medium,6.3,6.75,4.02,2077,18,17,209.4,1
Abia,Arochukwu,2019,6.1,Medium,7.49,5.06,4.6,1917,32,15,182.8,3
Abia,Arochukwu,2020,5.74,Medium,5.83,6.49,5.95,2005,35,18,229.5,3
Abia,Arochukwu,2021,6.04,Medium,6.27,6.15,4.62,2020,27,14,187.1,3
Abia,Arochukwu,2022,5.24,Medium,5.28,5.36,5.11,2162,22,17,209.6,2
Abia,Arochukwu,2023,6.29,Medium,6.6,6.7,5.15,2443,32,28,362.6,1
Abia,Arochukwu,2024,6.26,Medium,7.21,5.56,4.27,2276,41,31,408.7,1
Abia,Bende,2018,5.22,Medium,5.17,5.28,4.8,1807,17,12,146.8,3
Abia,Bende,2019,6.03,Medium,6.23,6.34,5.0,2099,15,16,208.2,2
Abia,Bende,2020,6.22,Medium,7.13,6.43,6.04,2210,31,11,146.0,3
Abia,Bende,2021,6.46,Medium,6.31,6.93,4.16,1818,21,18,228.3,2
Abia,Bende,2022,6.11,Medium,7.57,5.77,6.11,2029,32,19,235.7,1
Abia,Bende,2023,6.32,Medium,7.84,5.54,5.16,2228,31,12,157.9,2
Abia,Bende,2024,7.09,High,7.67,7.34,4.59,1939,43,15,192.1,3
Abia,Ikwuano,2018,5.35,Medium,5.58,5.06,4.53,2230,16,15,199.9,1
Abia,Ikwuano,2019,5.35,Medium,5.16,5.5,4.57,1972,36,16,208.6,2
Abia,Ikwuano,2020,6.36,Medium,6.75,6.75,5.2,2169,39,20,262.7,3
Abia,Ikwuano,2021,6.48,Medium,7.21,6.57,5.13,2239,27,18,236.3,1
Abia,Ikwuano,2022,6.22,Medium,7.05,5.98,4.99,2169,15,27,329.8,1
Abia,Ikwuano,2023,7.09,High,7.63,7.26,4.34,2180,21,13,166.1,1
Abia,Ikwuano,2024,5.98,Medium,5.51,7.17,5.48,2202,15,13,168.8,3
Abia,Isiala Ngwa North,2018,5.95,Medium,6.28,5.63,4.06,2167,31,22,283.3,1
Abia,Isiala Ngwa North,2019,6.28,Medium,6.84,5.97,4.21,2124,32,22,278.1,3
